,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,classifier
,Random Forest,0.9,0.25,0.1,98.15756036,97.76923077,100,68.99618806,3
,Random Forest,0.9,0.3,0.1,98.15756036,97.76923077,100,69.88564168,3
,Random Forest,0.9,0.4,0.1,98.34815756,97.99537394,100,75.0317662,3
,Random Forest,0.9,0.1,0.15,97.52223634,97.02290076,100,66.01016518,3
,Random Forest,0.9,0.15,0.15,98.15756036,97.76923077,100,68.74205845,3
,Random Forest,0.9,0.2,0.15,98.28462516,97.91987673,100,69.05972046,3
,Random Forest,0.9,0.25,0.15,98.15756036,97.76923077,100,70.45743329,3
,Random Forest,0.9,0.3,0.15,98.15756036,97.76923077,100,70.6480305,3
,Random Forest,0.9,0.4,0.15,98.66581957,98.374613,100,76.68360864,3
,Random Forest,0.95,0.1,0.01,98.28462516,97.91987673,100,73.18932656,3
,Random Forest,0.95,0.15,0.01,98.47522236,98.14671815,100,75.54002541,3
,Random Forest,0.95,0.2,0.01,98.72935197,98.45081332,100,76.49301144,3
,Random Forest,0.95,0.25,0.01,98.79288437,98.52713178,100,76.74714104,3
,Random Forest,0.95,0.3,0.01,98.66581957,98.374613,100,77.00127065,3
,Random Forest,0.95,0.4,0.01,99.11054638,98.91050584,100,82.52858958,3
,Random Forest,0.95,0.1,0.03,98.72935197,98.45081332,100,77.00127065,3
,Random Forest,0.95,0.15,0.03,98.91994917,98.68012422,100,79.60609911,3
,Random Forest,0.95,0.2,0.03,98.91994917,98.68012422,100,79.47903431,3
,Random Forest,0.95,0.25,0.03,98.98348158,98.75679876,100,80.68614994,3
,Random Forest,0.95,0.3,0.03,98.91994917,98.68012422,100,81.13087675,3
,Random Forest,0.95,0.4,0.03,99.30114358,99.14196568,100,85.06988564,3
,Random Forest,0.95,0.1,0.05,98.60228717,98.29853055,100,79.41550191,3
,Random Forest,0.95,0.15,0.05,98.98348158,98.75679876,100,81.32147395,3
,Random Forest,0.95,0.2,0.05,99.30114358,99.14196568,100,82.59212198,3
,Random Forest,0.95,0.25,0.05,98.85641677,98.60356866,100,81.95679797,3
,Random Forest,0.95,0.3,0.05,99.04701398,98.83359253,100,82.84625159,3
,Random Forest,0.95,0.4,0.05,99.17407878,98.98753894,100,85.89580686,3
,Random Forest,0.95,0.1,0.08,98.72935197,98.45081332,100,80.30495553,3
,Random Forest,0.95,0.15,0.08,99.04701398,98.83359253,100,82.14739517,3
,Random Forest,0.95,0.2,0.08,99.23761118,99.06469213,100,83.4815756,3
,Random Forest,0.95,0.25,0.08,99.11054638,98.91050584,100,83.79923761,3
,Random Forest,0.95,0.3,0.08,99.11054638,98.91050584,100,85.00635324,3
,Random Forest,0.95,0.4,0.08,99.30114358,99.14196568,100,87.22998729,3
,Random Forest,0.95,0.1,0.1,98.85641677,98.60356866,100,80.87674714,3
,Random Forest,0.95,0.15,0.1,99.11054638,98.91050584,100,83.79923761,3
,Random Forest,0.95,0.2,0.1,99.23761118,99.06469213,100,83.98983482,3
,Random Forest,0.95,0.25,0.1,99.17407878,98.98753894,100,85.89580686,3
,Random Forest,0.95,0.3,0.1,99.30114358,99.14196568,100,85.45108005,3
,Random Forest,0.95,0.4,0.1,99.17407878,98.98753894,100,88.18297332,3
,Random Forest,0.95,0.1,0.15,99.11054638,98.91050584,100,83.3545108,3
,Random Forest,0.95,0.15,0.15,99.11054638,98.91050584,100,85.06988564,3
,Random Forest,0.95,0.2,0.15,99.23761118,99.06469213,100,85.26048285,3
,Random Forest,0.95,0.25,0.15,99.36467598,99.21935988,100,87.3570521,3
,Random Forest,0.95,0.3,0.15,99.17407878,98.98753894,100,86.59466328,3
,Random Forest,0.95,0.4,0.15,99.49174079,99.37451134,100,89.26302414,3
,Random Forest,0.99,0.1,0.01,99.74587039,99.68627451,100,94.91740788,3
,Random Forest,0.99,0.15,0.01,99.8729352,99.84289081,100,95.55273189,3
,Random Forest,0.99,0.2,0.01,99.74587039,99.68627451,100,95.48919949,3
,Random Forest,0.99,0.25,0.01,99.8729352,99.84289081,100,94.98094028,3
,Random Forest,0.99,0.3,0.01,99.61880559,99.53014879,100,94.98094028,3
,Random Forest,0.99,0.4,0.01,99.8729352,99.84289081,100,96.37865311,3
,Random Forest,0.99,0.1,0.03,99.74587039,99.68627451,100,96.63278272,3
,Random Forest,0.99,0.15,0.03,99.8729352,99.84289081,100,97.20457433,3
,Random Forest,0.99,0.2,0.03,100,100,100,97.26810673,3
,Random Forest,0.99,0.25,0.03,100,100,100,97.64930114,3
,Random Forest,0.99,0.3,0.03,99.9364676,99.92138365,100,97.83989835,3
,Random Forest,0.99,0.4,0.03,99.9364676,99.92138365,100,97.64930114,3
,Random Forest,0.99,0.1,0.05,99.9364676,99.92138365,100,97.64930114,3
,Random Forest,0.99,0.15,0.05,99.9364676,99.92138365,100,97.90343075,3
,Random Forest,0.99,0.2,0.05,99.9364676,99.92138365,100,97.90343075,3
,Random Forest,0.99,0.25,0.05,100,100,100,97.90343075,3
,Random Forest,0.99,0.3,0.05,100,100,100,97.77636595,3
,Random Forest,0.99,0.4,0.05,100,100,100,98.28462516,3
,Random Forest,0.99,0.1,0.08,99.9364676,99.92138365,100,98.28462516,3
,Random Forest,0.99,0.15,0.08,100,100,100,98.60228717,3
,Random Forest,0.99,0.2,0.08,99.8729352,99.84289081,100,98.03049555,3
,Random Forest,0.99,0.25,0.08,99.8729352,99.84289081,100,98.09402795,3
,Random Forest,0.99,0.3,0.08,100,100,100,98.79288437,3
,Random Forest,0.99,0.4,0.08,99.8729352,99.84289081,100,98.53875476,3
,Random Forest,0.99,0.1,0.1,99.9364676,99.92138365,100,98.47522236,3
,Random Forest,0.99,0.15,0.1,100,100,100,98.72935197,3
,Random Forest,0.99,0.2,0.1,100,100,100,98.41168996,3
,Random Forest,0.99,0.25,0.1,100,100,100,98.72935197,3
,Random Forest,0.99,0.3,0.1,99.9364676,99.92138365,100,98.79288437,3
,Random Forest,0.99,0.4,0.1,99.9364676,99.92138365,100,98.85641677,3
,Random Forest,0.99,0.1,0.15,99.9364676,99.92138365,100,98.91994917,3
,Random Forest,0.99,0.15,0.15,100,100,100,99.17407878,3
,Random Forest,0.99,0.2,0.15,100,100,100,98.72935197,3
,Random Forest,0.99,0.25,0.15,99.9364676,99.92138365,100,99.11054638,3
,Random Forest,0.99,0.3,0.15,100,100,100,99.68233799,3
,Random Forest,0.99,0.4,0.15,99.9364676,99.92138365,100,99.30114358,3
,SVM,0.8,0.1,0.01,90.72426938,90.8496732,98.42643588,21.53748412,4
,SVM,0.8,0.15,0.01,91.10546379,91.12727273,98.58379229,26.42947903,4
,SVM,0.8,0.2,0.01,91.8043202,91.86217009,98.58379229,30.43202033,4
,SVM,0.8,0.25,0.01,93.32909784,92.86764706,99.37057435,35.57814485,4
,SVM,0.8,0.3,0.01,93.39263024,92.87288758,99.44925256,38.88182973,4
,SVM,0.8,0.4,0.01,94.72681067,94.1307578,99.68528718,48.66581957,4
,SVM,0.8,0.1,0.03,91.23252859,91.38056976,98.42643588,24.45997459,4
,SVM,0.8,0.15,0.03,92.12198221,91.76984705,99.13453973,28.84371029,4
,SVM,0.8,0.2,0.03,92.50317662,92.609017,98.58379229,32.52858958,4
,SVM,0.8,0.25,0.03,93.39263024,92.93598234,99.37057435,37.10292249,4
,SVM,0.8,0.3,0.03,93.90088945,93.35793358,99.52793076,40.21601017,4
,SVM,0.8,0.4,0.03,94.91740788,94.34102755,99.68528718,49.9364676,4
,SVM,0.8,0.1,0.05,91.93138501,91.50943396,99.21321794,26.23888183,4
,SVM,0.8,0.15,0.05,92.56670902,92.17836257,99.21321794,30.62261753,4
,SVM,0.8,0.2,0.05,92.88437103,92.76752768,98.89850511,34.11689962,4
,SVM,0.8,0.25,0.05,93.71029225,93.21533923,99.44925256,38.05590851,4
,SVM,0.8,0.3,0.05,93.90088945,93.35793358,99.52793076,40.78780178,4
,SVM,0.8,0.4,0.05,94.91740788,94.34102755,99.68528718,50.0635324,4
,SVM,0.8,0.1,0.08,92.18551461,91.65457184,99.37057435,28.08132147,4
,SVM,0.8,0.15,0.08,92.63024142,92.18407597,99.29189614,32.59212198,4
,SVM,0.8,0.2,0.08,93.13850064,93.10600445,98.81982691,35.38754765,4
,SVM,0.8,0.25,0.08,94.15501906,93.50553506,99.68528718,40.47013977,4
,SVM,0.8,0.3,0.08,94.21855146,93.44624448,99.84264359,41.8043202,4
,SVM,0.8,0.4,0.08,94.98094028,94.3452381,99.76396538,50.69885642,4
,SVM,0.8,0.1,0.1,91.7407878,91.49090909,98.97718332,28.46251588,4
,SVM,0.8,0.15,0.1,93.07496823,92.65785609,99.29189614,34.05336722,4
,SVM,0.8,0.2,0.1,93.01143583,92.90465632,98.89850511,35.83227446,4
,SVM,0.8,0.25,0.1,93.90088945,93.42202513,99.44925256,40.15247776,4
,SVM,0.8,0.3,0.1,94.09148666,93.62962963,99.44925256,41.8678526,4
,SVM,0.8,0.4,0.1,95.17153748,94.55630127,99.76396538,51.52477764,4
,SVM,0.8,0.1,0.15,91.8678526,91.80687637,98.7411487,30.43202033,4
,SVM,0.8,0.15,0.15,93.39263024,92.99926308,99.29189614,36.46759848,4
,SVM,0.8,0.2,0.15,93.32909784,93.44262295,98.6624705,38.50063532,4
,SVM,0.8,0.25,0.15,94.28208386,93.70836417,99.60660897,41.99491741,4
,SVM,0.8,0.3,0.15,94.34561626,93.77777778,99.60660897,43.07496823,4
,SVM,0.8,0.4,0.15,95.29860229,94.69753547,99.76396538,52.41423126,4
,SVM,0.85,0.1,0.01,92.82083863,92.63622975,98.97718332,31.76620076,4
,SVM,0.85,0.15,0.01,94.15501906,94.09124907,98.97718332,37.80177891,4
,SVM,0.85,0.2,0.01,93.71029225,93.6661699,98.89850511,38.69123253,4
,SVM,0.85,0.25,0.01,94.91740788,94.47348768,99.52793076,43.32909784,4
,SVM,0.85,0.3,0.01,95.17153748,94.62285288,99.68528718,45.8068615,4
,SVM,0.85,0.4,0.01,95.8068615,95.1987997,99.84264359,54.38373571,4
,SVM,0.85,0.1,0.03,94.34561626,94.03874814,99.29189614,37.99237611,4
,SVM,0.85,0.15,0.03,94.59974587,94.72096531,98.81982691,40.97839898,4
,SVM,0.85,0.2,0.03,94.21855146,94.22788606,98.89850511,40.97839898,4
,SVM,0.85,0.25,0.03,95.10800508,94.55223881,99.68528718,44.91740788,4
,SVM,0.85,0.3,0.03,95.10800508,94.61883408,99.60660897,46.63278272,4
,SVM,0.85,0.4,0.03,95.9974587,95.48192771,99.76396538,55.40025413,4
,SVM,0.85,0.1,0.05,94.09148666,93.88971684,99.13453973,38.50063532,4
,SVM,0.85,0.15,0.05,94.79034307,94.59864966,99.21321794,40.53367217,4
,SVM,0.85,0.2,0.05,94.98094028,94.74474474,99.29189614,43.96442186,4
,SVM,0.85,0.25,0.05,95.61626429,95.12012012,99.68528718,47.71283355,4
,SVM,0.85,0.3,0.05,95.61626429,94.98502994,99.84264359,48.98348158,4
,SVM,0.85,0.4,0.05,96.18805591,95.69811321,99.76396538,56.98856417,4
,SVM,0.85,0.1,0.08,94.91740788,94.34102755,99.68528718,42.05844981,4
,SVM,0.85,0.15,0.08,95.48919949,95.38577912,99.21321794,46.44218551,4
,SVM,0.85,0.2,0.08,94.98094028,94.74474474,99.29189614,44.02795426,4
,SVM,0.85,0.25,0.08,95.8703939,95.27027027,99.84264359,49.8729352,4
,SVM,0.85,0.3,0.08,95.61626429,94.98502994,99.84264359,48.66581957,4
,SVM,0.85,0.4,0.08,96.18805591,95.69811321,99.76396538,56.98856417,4
,SVM,0.85,0.1,0.1,94.85387548,94.66966967,99.21321794,42.94790343,4
,SVM,0.85,0.15,0.1,95.36213469,95.03759398,99.44925256,44.40914867,4
,SVM,0.85,0.2,0.1,94.79034307,94.59864966,99.21321794,43.77382465,4
,SVM,0.85,0.25,0.1,95.8068615,95.1987997,99.84264359,49.42820839,4
,SVM,0.85,0.3,0.1,95.6797967,95.05617978,99.84264359,49.23761118,4
,SVM,0.85,0.4,0.1,96.37865311,95.91527988,99.76396538,57.94155019,4
,SVM,0.85,0.1,0.15,94.47268107,94.17910448,99.29189614,43.39263024,4
,SVM,0.85,0.15,0.15,95.23506989,95.03012048,99.29189614,46.25158831,4
,SVM,0.85,0.2,0.15,95.23506989,95.03012048,99.29189614,47.14104193,4
,SVM,0.85,0.25,0.15,95.8068615,95.26671675,99.76396538,50.57179161,4
,SVM,0.85,0.3,0.15,95.9339263,95.34184823,99.84264359,51.96950445,4
,SVM,0.85,0.4,0.15,96.37865311,95.91527988,99.76396538,58.5133418,4
,SVM,0.9,0.1,0.01,95.6797967,95.88100686,98.89850511,51.01651842,4
,SVM,0.9,0.15,0.01,95.7433291,95.95419847,98.89850511,52.22363405,4
,SVM,0.9,0.2,0.01,95.8703939,95.96036585,99.05586153,53.81194409,4
,SVM,0.9,0.25,0.01,96.56925032,96.34424981,99.52793076,57.68742058,4
,SVM,0.9,0.3,0.01,96.95044473,96.64378337,99.68528718,60.48284625,4
,SVM,0.9,0.4,0.01,97.77636595,97.46543779,99.84264359,68.04320203,4
,SVM,0.9,0.1,0.03,96.06099111,96.10983982,99.13453973,54.51080051,4
,SVM,0.9,0.15,0.03,96.06099111,96.25095639,98.97718332,54.0660737,4
,SVM,0.9,0.2,0.03,96.37865311,96.12462006,99.52793076,58.06861499,4
,SVM,0.9,0.25,0.03,96.95044473,96.64378337,99.68528718,59.97458704,4
,SVM,0.9,0.3,0.03,97.26810673,97.01378254,99.68528718,62.5794155,4
,SVM,0.9,0.4,0.03,97.83989835,97.54035357,99.84264359,69.37738247,4
,SVM,0.9,0.1,0.05,96.25158831,96.33027523,99.13453973,55.71791614,4
,SVM,0.9,0.15,0.05,96.18805591,96.32746748,99.05586153,56.48030496,4
,SVM,0.9,0.2,0.05,96.31512071,96.19192688,99.37057435,57.24269377,4
,SVM,0.9,0.25,0.05,97.39517154,97.01834862,99.84264359,62.19822109,4
,SVM,0.9,0.3,0.05,97.26810673,97.01378254,99.68528718,63.91359593,4
,SVM,0.9,0.4,0.05,97.96696315,97.69053118,99.84264359,70.6480305,4
,SVM,0.9,0.1,0.08,96.82337992,96.71002295,99.44925256,59.52986023,4
,SVM,0.9,0.15,0.08,96.75984752,96.85099846,99.21321794,59.72045743,4
,SVM,0.9,0.2,0.08,96.95044473,96.71504966,99.60660897,61.62642948,4
,SVM,0.9,0.25,0.08,97.33163914,97.08812261,99.68528718,64.10419314,4
,SVM,0.9,0.3,0.08,97.64930114,97.24349158,99.92132179,67.47141042,4
,SVM,0.9,0.4,0.08,97.96696315,97.69053118,99.84264359,70.52096569,4
,SVM,0.9,0.1,0.1,96.88691233,96.78407351,99.44925256,62.07115629,4
,SVM,0.9,0.15,0.1,97.20457433,96.93955624,99.68528718,62.5158831,4
,SVM,0.9,0.2,0.1,96.69631512,96.70498084,99.29189614,60.48284625,4
,SVM,0.9,0.25,0.1,97.71283355,97.39063699,99.84264359,67.09021601,4
,SVM,0.9,0.3,0.1,97.58576874,97.24137931,99.84264359,65.69250318,4
,SVM,0.9,0.4,0.1,97.96696315,97.69053118,99.84264359,70.45743329,4
,SVM,0.9,0.1,0.15,97.33163914,96.94423224,99.84264359,64.04066074,4
,SVM,0.9,0.15,0.15,97.20457433,97.01149425,99.60660897,62.19822109,4
,SVM,0.9,0.2,0.15,97.20457433,97.01149425,99.60660897,64.93011436,4
,SVM,0.9,0.25,0.15,97.77636595,97.46543779,99.84264359,67.34434562,4
,SVM,0.9,0.3,0.15,97.64930114,97.31595092,99.84264359,67.53494282,4
,SVM,0.9,0.4,0.15,97.96696315,97.69053118,99.84264359,72.55400254,4
,SVM,0.95,0.1,0.01,98.53875476,98.59813084,99.60660897,78.14485388,4
,SVM,0.95,0.15,0.01,98.22109276,98.44115355,99.37057435,76.74714104,4
,SVM,0.95,0.2,0.01,98.60228717,98.59922179,99.68528718,78.9707751,4
,SVM,0.95,0.25,0.01,98.91994917,98.75583204,99.92132179,82.84625159,4
,SVM,0.95,0.3,0.01,98.91994917,98.75583204,99.92132179,84.62515883,4
,SVM,0.95,0.4,0.01,99.23761118,99.14129586,99.92132179,87.10292249,4
,SVM,0.95,0.1,0.03,98.47522236,98.59703819,99.52793076,79.2249047,4
,SVM,0.95,0.15,0.03,98.60228717,98.7509758,99.52793076,79.3519695,4
,SVM,0.95,0.2,0.03,98.79288437,98.75389408,99.76396538,81.19440915,4
,SVM,0.95,0.25,0.03,98.91994917,98.8317757,99.84264359,83.54510801,4
,SVM,0.95,0.3,0.03,98.85641677,98.75486381,99.84264359,83.60864041,4
,SVM,0.95,0.4,0.03,99.11054638,98.98674981,99.92132179,87.3570521,4
,SVM,0.95,0.1,0.05,98.91994917,98.90795632,99.76396538,82.08386277,4
,SVM,0.95,0.15,0.05,98.79288437,98.8299532,99.68528718,82.52858958,4
,SVM,0.95,0.2,0.05,99.17407878,99.06396256,99.92132179,85.06988564,4
,SVM,0.95,0.25,0.05,99.17407878,99.06396256,99.92132179,85.70520966,4
,SVM,0.95,0.3,0.05,99.17407878,99.06396256,99.92132179,86.08640407,4
,SVM,0.95,0.4,0.05,99.30114358,99.21875,99.92132179,88.05590851,4
,SVM,0.95,0.1,0.08,98.98348158,99.06176701,99.68528718,84.62515883,4
,SVM,0.95,0.15,0.08,98.85641677,98.75486381,99.84264359,83.4180432,4
,SVM,0.95,0.2,0.08,98.72935197,98.75292284,99.68528718,82.46505718,4
,SVM,0.95,0.25,0.08,99.36467598,99.29632525,99.92132179,86.59466328,4
,SVM,0.95,0.3,0.08,99.11054638,98.98674981,99.92132179,86.72172808,4
,SVM,0.95,0.4,0.08,99.17407878,99.06396256,99.92132179,88.75476493,4
,SVM,0.95,0.1,0.1,99.04701398,98.90965732,99.92132179,84.62515883,4
,SVM,0.95,0.15,0.1,99.04701398,98.98595944,99.84264359,85.06988564,4
,SVM,0.95,0.2,0.1,99.04701398,98.90965732,99.92132179,85.51461245,4
,SVM,0.95,0.25,0.1,99.36467598,99.29632525,99.92132179,88.05590851,4
,SVM,0.95,0.3,0.1,99.23761118,99.14129586,99.92132179,86.84879288,4
,SVM,0.95,0.4,0.1,99.11054638,98.98674981,99.92132179,88.18297332,4
,SVM,0.95,0.1,0.15,99.30114358,99.21875,99.92132179,87.80177891,4
,SVM,0.95,0.15,0.15,99.30114358,99.21875,99.92132179,88.56416773,4
,SVM,0.95,0.2,0.15,99.36467598,99.29632525,99.92132179,87.73824651,4
,SVM,0.95,0.25,0.15,99.11054638,98.98674981,99.92132179,87.4841169,4
,SVM,0.95,0.3,0.15,99.23761118,99.14129586,99.92132179,88.43710292,4
,SVM,0.95,0.4,0.15,99.17407878,99.06396256,99.92132179,87.99237611,4
,SVM,0.99,0.1,0.01,99.9364676,100,99.92132179,98.28462516,4
,SVM,0.99,0.15,0.01,99.9364676,100,99.92132179,98.47522236,4
,SVM,0.99,0.2,0.01,99.9364676,100,99.92132179,98.41168996,4
,SVM,0.99,0.25,0.01,99.9364676,100,99.92132179,98.72935197,4
,SVM,0.99,0.3,0.01,99.9364676,100,99.92132179,98.66581957,4
,SVM,0.99,0.4,0.01,99.9364676,100,99.92132179,98.72935197,4
,SVM,0.99,0.1,0.03,99.9364676,100,99.92132179,98.91994917,4
,SVM,0.99,0.15,0.03,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.2,0.03,99.9364676,100,99.92132179,98.91994917,4
,SVM,0.99,0.25,0.03,99.9364676,100,99.92132179,98.72935197,4
,SVM,0.99,0.3,0.03,99.9364676,100,99.92132179,98.79288437,4
,SVM,0.99,0.4,0.03,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.1,0.05,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.15,0.05,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.2,0.05,99.9364676,100,99.92132179,98.79288437,4
,SVM,0.99,0.25,0.05,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.3,0.05,99.9364676,100,99.92132179,99.04701398,4
,SVM,0.99,0.4,0.05,99.9364676,100,99.92132179,99.23761118,4
,SVM,0.99,0.1,0.08,99.9364676,100,99.92132179,98.85641677,4
,SVM,0.99,0.15,0.08,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.2,0.08,99.9364676,100,99.92132179,98.79288437,4
,SVM,0.99,0.25,0.08,100,100,100,99.23761118,4
,SVM,0.99,0.3,0.08,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.4,0.08,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.1,0.1,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.15,0.1,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.2,0.1,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.25,0.1,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.3,0.1,99.9364676,100,99.92132179,99.04701398,4
,SVM,0.99,0.4,0.1,99.9364676,100,99.92132179,99.11054638,4
,SVM,0.99,0.1,0.15,100,100,100,99.23761118,4
,SVM,0.99,0.15,0.15,99.9364676,100,99.92132179,98.98348158,4
,SVM,0.99,0.2,0.15,99.9364676,100,99.92132179,99.30114358,4
,SVM,0.99,0.25,0.15,99.9364676,100,99.92132179,99.17407878,4
,SVM,0.99,0.3,0.15,99.9364676,100,99.92132179,99.23761118,4
,SVM,0.99,0.4,0.15,99.9364676,100,99.92132179,99.11054638,4
