model,config,human effort,small accuracy,precision,recall
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.895939086,0.888888889,0.993630573
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.875634518,0.873595506,0.987301587
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.850253807,0.851648352,0.984126984
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.92893401,0.923728814,0.99695122
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.885786802,0.877094972,0.996825397
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.898477157,0.892265193,0.99691358
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.860406091,0.858725762,0.987261146
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.878172589,0.875706215,0.987261146
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.895939086,0.889502762,0.996904025
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.873096447,0.861495845,1
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.868020305,0.864265928,0.99047619
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.845177665,0.839541547,0.983221477
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.926395939,0.923943662,0.993939394
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.875634518,0.883852691,0.975
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.903553299,0.902578797,0.987460815
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.865482234,0.868194842,0.977419355
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.868020305,0.863247863,0.986970684
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.885786802,0.882681564,0.990595611
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.875634518,0.86908078,0.993630573
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.75,0.847715736,0.843137255,0.986885246
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.878017789,0.879551821,0.984326019
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.871664549,0.875,0.982839314
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.876747141,0.873772791,0.988888889
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.869123253,0.863888889,0.992025518
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.895806861,0.904827586,0.980568012
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.872935197,0.865464632,0.995215311
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.879288437,0.874651811,0.992101106
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.880559085,0.875862069,0.993740219
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.864040661,0.856562923,0.998422713
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.872935197,0.870395634,0.99222395
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.876747141,0.871724138,0.993710692
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.865311309,0.861878453,0.99047619
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.864040661,0.86407767,0.985759494
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.879288437,0.872928177,0.995275591
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.852604828,0.85,0.987096774
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.875476493,0.874476987,0.987401575
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.878017789,0.872727273,0.992050874
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.878017789,0.87534626,0.990595611
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.858958069,0.85615491,0.988817891
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.5,0.869123253,0.868055556,0.987361769
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.847586791,0.84733514,0.988408851
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.848433531,0.842010772,0.996811902
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.855207451,0.85494107,0.988469602
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.861134632,0.85753176,0.992647059
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.864521592,0.861721612,0.990526316
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.848433531,0.844364937,0.994731296
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.83742591,0.837209302,0.989429175
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.83657917,0.832446809,0.995758218
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.849280271,0.859665428,0.971638655
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.853513971,0.863216266,0.973931178
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.854360711,0.84950136,0.993637328
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.858594412,0.856498195,0.991640543
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.854360711,0.865168539,0.970588235
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.845893311,0.846570397,0.987368421
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.856054191,0.867413632,0.970741902
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.849280271,0.84958979,0.986243386
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.850127011,0.853636364,0.983246073
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.853513971,0.868470149,0.966770509
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.877222693,0.881860465,0.98136646
Random Forest,"['VIF', 'MSE', 'PSNR', 'Hist_cor', 'Hist_int', 'TSI', 'SSIM', 'CS', 'CPL', 'WD', 'KL', 'SSS1', 'VAE']",0.25,0.849280271,0.845184518,0.993650794
