,model,threshold,split_1,split_2,accuracy,precision,recall,human effort,effort,F1-Score
0,Random Forest,0.8,0.1,0.01,91.61205767,88.88888889,59.70149254,26.73656619,0.25,0.714285714
1,Random Forest,0.8,0.1,0.01,90.95674967,89.15662651,55.2238806,24.508519,0.25,0.68202765
2,Random Forest,0.8,0.1,0.01,86.50065531,86.04651163,27.6119403,15.46526868,0.25,0.418079096
3,Random Forest,0.8,0.1,0.01,88.0733945,93.87755102,34.32835821,19.65923984,0.25,0.50273224
4,Random Forest,0.8,0.1,0.01,93.44692005,92,68.65671642,29.61992136,0.25,0.786324786
5,Random Forest,0.8,0.1,0.01,90.82568807,92.10526316,52.23880597,23.85321101,0.25,0.666666667
6,Random Forest,0.8,0.1,0.01,89.77719528,92.42424242,45.52238806,26.73656619,0.25,0.61
7,Random Forest,0.8,0.1,0.01,91.34993447,97.22222222,52.23880597,24.9017038,0.25,0.67961165
8,Random Forest,0.8,0.1,0.01,88.0733945,97.77777778,32.8358209,19.13499345,0.25,0.491620112
9,Random Forest,0.8,0.1,0.01,92.00524246,98.66666667,55.2238806,24.9017038,0.25,0.708133971
10,Random Forest,0.8,0.1,0.01,90.43250328,94.20289855,48.50746269,22.28047182,0.25,0.640394089
11,Random Forest,0.8,0.1,0.01,90.82568807,95.71428571,50,24.508519,0.25,0.656862745
12,Random Forest,0.8,0.1,0.01,90.03931848,90.27777778,48.50746269,24.11533421,0.25,0.631067961
13,Random Forest,0.8,0.1,0.01,90.17038008,98.36065574,44.7761194,22.80471822,0.25,0.615384615
14,Random Forest,0.8,0.1,0.01,89.38401048,94.91525424,41.79104478,21.23197903,0.25,0.580310881
15,Random Forest,0.8,0.1,0.01,89.51507208,96.55172414,41.79104478,22.67365662,0.25,0.583333333
16,Random Forest,0.8,0.1,0.01,87.9423329,76.92307692,44.7761194,21.62516383,0.25,0.566037736
17,Random Forest,0.8,0.1,0.01,90.82568807,87.20930233,55.97014925,23.32896461,0.25,0.681818182
18,Random Forest,0.8,0.1,0.01,89.64613368,85.71428571,49.25373134,22.41153342,0.25,0.625592417
19,Random Forest,0.8,0.1,0.01,91.48099607,98.5915493,52.23880597,24.11533421,0.25,0.682926829
20,Random Forest,0.85,0.25,0.1,96.06815203,99.05660377,78.35820896,51.24508519,0.5,0.875
21,Random Forest,0.85,0.25,0.1,94.62647444,98.94736842,70.14925373,47.31323722,0.5,0.820960699
22,Random Forest,0.85,0.25,0.1,96.98558322,100,82.8358209,52.55570118,0.5,0.906122449
23,Random Forest,0.85,0.25,0.1,96.46133683,96.52173913,82.8358209,49.8034076,0.5,0.891566265
24,Random Forest,0.85,0.25,0.1,95.67496723,99.02912621,76.11940299,46.52686763,0.5,0.860759494
25,Random Forest,0.85,0.25,0.1,95.93709043,100,76.86567164,49.01703801,0.5,0.869198312
26,Random Forest,0.85,0.25,0.1,95.80602883,99.03846154,76.86567164,48.09960682,0.5,0.865546218
27,Random Forest,0.85,0.25,0.1,96.98558322,97.43589744,85.07462687,51.90039318,0.5,0.908366534
28,Random Forest,0.85,0.25,0.1,96.46133683,100,79.85074627,49.8034076,0.5,0.887966805
29,Random Forest,0.85,0.25,0.1,95.80602883,100,76.11940299,48.23066841,0.5,0.86440678
30,Random Forest,0.85,0.25,0.1,97.11664482,100,83.58208955,51.50720839,0.5,0.910569106
31,Random Forest,0.85,0.25,0.1,96.85452163,100,82.08955224,51.90039318,0.5,0.901639344
32,Random Forest,0.85,0.25,0.1,96.19921363,100,78.35820896,48.23066841,0.5,0.878661088
33,Random Forest,0.85,0.25,0.1,96.59239843,100,80.59701493,49.4102228,0.5,0.892561983
34,Random Forest,0.85,0.25,0.1,96.72346003,100,81.34328358,54.52162516,0.5,0.897119342
35,Random Forest,0.85,0.25,0.1,95.41284404,97.14285714,76.11940299,49.4102228,0.5,0.853556485
36,Random Forest,0.85,0.25,0.1,96.59239843,100,80.59701493,49.5412844,0.5,0.892561983
37,Random Forest,0.85,0.25,0.1,97.11664482,100,83.58208955,50.5897772,0.5,0.910569106
38,Random Forest,0.85,0.25,0.1,95.93709043,100,76.86567164,48.75491481,0.5,0.869198312
39,Random Forest,0.85,0.25,0.1,96.19921363,100,78.35820896,50.327654,0.5,0.878661088
40,Random Forest,0.99,0.25,0.01,99.21363041,100,95.52238806,79.03014417,0.75,0.977099237
41,Random Forest,0.99,0.25,0.01,98.82044561,100,93.28358209,74.31192661,0.75,0.965250965
42,Random Forest,0.99,0.25,0.01,98.68938401,100,92.53731343,73.91874181,0.75,0.96124031
43,Random Forest,0.99,0.25,0.01,99.08256881,100,94.7761194,75.3604194,0.75,0.973180077
44,Random Forest,0.99,0.25,0.01,98.82044561,100,93.28358209,76.93315858,0.75,0.965250965
45,Random Forest,0.99,0.25,0.01,98.55832241,100,91.79104478,76.40891219,0.75,0.957198444
46,Random Forest,0.99,0.25,0.01,98.42726081,100,91.04477612,74.7051114,0.75,0.953125
47,Random Forest,0.99,0.25,0.01,99.6068152,100,97.76119403,80.99606815,0.75,0.988679245
48,Random Forest,0.99,0.25,0.01,99.08256881,100,94.7761194,75.75360419,0.75,0.973180077
49,Random Forest,0.99,0.25,0.01,98.95150721,100,94.02985075,74.7051114,0.75,0.969230769
50,Random Forest,0.99,0.25,0.01,98.95150721,100,94.02985075,76.80209699,0.75,0.969230769
51,Random Forest,0.99,0.25,0.01,98.82044561,100,93.28358209,80.73394495,0.75,0.965250965
52,Random Forest,0.99,0.25,0.01,99.8689384,100,99.25373134,82.96199214,0.75,0.996254682
53,Random Forest,0.99,0.25,0.01,98.16513761,100,89.55223881,70.51114024,0.75,0.94488189
54,Random Forest,0.99,0.25,0.01,98.16513761,100,89.55223881,72.60812582,0.75,0.94488189
55,Random Forest,0.99,0.25,0.01,99.08256881,100,94.7761194,72.08387942,0.75,0.973180077
56,Random Forest,0.99,0.25,0.01,99.34469201,100,96.26865672,78.63695937,0.75,0.980988593
57,Random Forest,0.99,0.25,0.01,98.68938401,100,92.53731343,73.91874181,0.75,0.96124031
58,Random Forest,0.99,0.25,0.01,99.08256881,100,94.7761194,76.53997379,0.75,0.973180077
59,Random Forest,0.99,0.25,0.01,99.4757536,100,97.01492537,80.60288336,0.75,0.984848485
